STRAIN,FILEBASE
BigSheepPass,AS_BSP_2_R[12].fq.gz
PinkhamCyn,AS_PC_2_R[12].fq.gz
A,A_R[12].fastq.gz
B,B_R[12].fastq.gz
C,C_R[12].fastq.gz
D,D_R[12].fastq.gz
E,E_R[12].fastq.gz
F,F_R[12].fastq.gz
G,G_R[12].fastq.gz
H,H_R[12].fastq.gz
I,I_R[12].fastq.gz
J,J_R[12].fastq.gz
K,K_R[12].fastq.gz
L,L_R[12].fastq.gz
M,M_R[12].fastq.gz
N,N_R[12].fastq.gz
O,O_R[12].fastq.gz
P,P_R[12].fastq.gz
Q,Q_R[12].fastq.gz
R,R_R[12].fastq.gz
S,S_R[12].fastq.gz
T,T_R[12].fastq.gz
U,U_R[12].fastq.gz
V,V_R[12].fastq.gz
W,W_R[12].fastq.gz
X,X_R[12].fastq.gz
Y,Y_R[12].fastq.gz
Z,Z_R[12].fastq.gz
